epoch,acc,iou,loss,lr,precision_9,recall_9,val_acc,val_iou,val_loss,val_precision_9,val_recall_9
0,0.7006450891494751,0.1338144689798355,0.6035069823265076,1e-04,0.22324959933757782,0.4085449278354645,0.895336925983429,0.09662962704896927,0.6808354258537292,0.02459016442298889,0.0009525537607260048
1,0.7523019909858704,0.15266582369804382,0.5377751588821411,1e-04,0.3001176118850708,0.4970173239707947,0.8958740234375,0.09646950662136078,0.6670432090759277,0.0056603774428367615,0.0001814388087950647
2,0.7828429937362671,0.1614496260881424,0.5006245970726013,1e-04,0.34493955969810486,0.5081731081008911,0.8957687616348267,0.0961480364203453,0.6519269347190857,0.0009203865774907172,3.0239802072173916e-05
3,0.8080779910087585,0.16673243045806885,0.47360116243362427,1e-04,0.3841705620288849,0.4781799614429474,0.8950271606445312,0.0956474170088768,0.637262761592865,0.0007521624793298542,3.0239802072173916e-05
4,0.8284408450126648,0.1739022433757782,0.4505533277988434,1e-04,0.4314381182193756,0.47584351897239685,0.8950058221817017,0.09521646797657013,0.6221942901611328,0.0007482229848392308,3.0239802072173916e-05
5,0.8495035171508789,0.1857868731021881,0.42724505066871643,1e-04,0.49616214632987976,0.5130150318145752,0.8950470089912415,0.09481966495513916,0.6063286066055298,0.0007558579090982676,3.0239802072173916e-05
6,0.8710960149765015,0.20280671119689941,0.4022981524467468,1e-04,0.5697665214538574,0.5710288286209106,0.8953841924667358,0.09439259767532349,0.5885857343673706,0.0008247422520071268,3.0239802072173916e-05
7,0.8921728134155273,0.22240908443927765,0.37556105852127075,1e-04,0.6507732272148132,0.6128603219985962,0.8959732055664062,0.09401065111160278,0.567348062992096,0.000980873010121286,3.0239802072173916e-05
8,0.910103976726532,0.2439141720533371,0.34943121671676636,1e-04,0.7233865261077881,0.6594921350479126,0.898944079875946,0.09349030256271362,0.5436704754829407,0.021739130839705467,3.0239802072173916e-05
9,0.9238933324813843,0.2662591338157654,0.32527661323547363,1e-04,0.778922975063324,0.7022753357887268,0.8990646600723267,0.0922737717628479,0.5188248753547668,0.0,0.0
10,0.933184802532196,0.2851518392562866,0.3066253066062927,1e-04,0.8171968460083008,0.7307160496711731,0.8990814089775085,0.09045033156871796,0.4954566955566406,0.0,0.0
11,0.9407302737236023,0.3016960918903351,0.2905145585536957,1e-04,0.8438696265220642,0.759445309638977,0.8990814089775085,0.08774413913488388,0.47343429923057556,0.0,0.0
12,0.9293533563613892,0.29266101121902466,0.2975699305534363,1e-04,0.8181729316711426,0.6959251761436462,0.8990814089775085,0.08562885224819183,0.45332708954811096,0.0,0.0
13,0.9414256811141968,0.31690388917922974,0.2768368721008301,1e-04,0.853351354598999,0.7537920475006104,0.8990814089775085,0.08385289460420609,0.43958956003189087,0.0,0.0
14,0.9580841064453125,0.33931201696395874,0.2537876069545746,1e-04,0.9217848777770996,0.805956244468689,0.8990814089775085,0.08441363275051117,0.4256271719932556,0.0,0.0
15,0.9629831314086914,0.3575945794582367,0.2403893768787384,1e-04,0.9298065304756165,0.8363121151924133,0.8990814089775085,0.08408233523368835,0.41326627135276794,0.0,0.0
16,0.9674184918403625,0.3717595040798187,0.229352205991745,1e-04,0.940250039100647,0.8599368333816528,0.8990814089775085,0.08373598009347916,0.4014870524406433,0.0,0.0
17,0.9703220129013062,0.38366252183914185,0.22036246955394745,1e-04,0.9497033357620239,0.8724018931388855,0.8990814089775085,0.08371865749359131,0.39334818720817566,0.0,0.0
18,0.9730352163314819,0.3962501585483551,0.21203887462615967,1e-04,0.9513072371482849,0.891609787940979,0.8990814089775085,0.08352993428707123,0.38671350479125977,0.0,0.0
19,0.9757793545722961,0.40525588393211365,0.20489546656608582,1e-04,0.9614425301551819,0.9018878936767578,0.8990814089775085,0.08325514942407608,0.38087648153305054,0.0,0.0
20,0.9773012399673462,0.4142983555793762,0.19894461333751678,1e-04,0.9638537168502808,0.9109646081924438,0.8990814089775085,0.08297240734100342,0.37554240226745605,0.0,0.0
21,0.9782609939575195,0.42141714692115784,0.1944018453359604,1e-04,0.9645214676856995,0.9184681177139282,0.8990814089775085,0.08288101851940155,0.37175530195236206,0.0,0.0
22,0.9792488217353821,0.42685356736183167,0.19041553139686584,1e-04,0.9673107862472534,0.922427237033844,0.8990814089775085,0.08263156563043594,0.36844581365585327,0.0,0.0
23,0.977120578289032,0.4255894124507904,0.19168587028980255,1e-04,0.9610198736190796,0.9129045009613037,0.8990737795829773,0.08250132203102112,0.3626866936683655,0.0,0.0
24,0.9761015176773071,0.42676544189453125,0.19140177965164185,1e-04,0.9552416801452637,0.9095643162727356,0.8990814089775085,0.08088669180870056,0.3558466136455536,0.0,0.0
25,0.9746934771537781,0.4250373840332031,0.19286394119262695,1e-04,0.9514700174331665,0.9038031101226807,0.899029552936554,0.08138927817344666,0.3542505204677582,0.0,0.0
26,0.9756675958633423,0.43071722984313965,0.1883048117160797,1e-04,0.9573559165000916,0.9052242040634155,0.8962478637695312,0.08157618343830109,0.3551090657711029,0.0,0.0
27,0.972983717918396,0.42666998505592346,0.1925254613161087,1e-04,0.9428941607475281,0.8986555933952332,0.8990280032157898,0.08081818372011185,0.3440092206001282,0.0,0.0
28,0.9734470248222351,0.4325476288795471,0.18901576101779938,1e-04,0.937923014163971,0.9100466966629028,0.8990386724472046,0.08066403865814209,0.3388682007789612,0.0,0.0
29,0.9768255352973938,0.43928152322769165,0.1827060431241989,1e-04,0.9555811285972595,0.9181833267211914,0.8968490362167358,0.0796537771821022,0.3395780622959137,0.0,0.0
30,0.9802099466323853,0.447141170501709,0.17602229118347168,1e-04,0.9711130261421204,0.9221463799476624,0.8962463140487671,0.08039560914039612,0.33673274517059326,0.04009900987148285,0.0012247120030224323
31,0.9816625714302063,0.4555028975009918,0.17126546800136566,1e-04,0.9717795848846436,0.9367853999137878,0.8956375122070312,0.07929421961307526,0.3382956385612488,0.0061484407633543015,0.0002116786054102704
32,0.9831333160400391,0.4595993161201477,0.16754646599292755,1e-04,0.9802684187889099,0.9382337927818298,0.8959854245185852,0.07921592891216278,0.335440069437027,0.12410948425531387,0.005004687234759331
33,0.9839450716972351,0.4650762677192688,0.16455623507499695,1e-04,0.9796732664108276,0.9458659887313843,0.8920990228652954,0.07735832780599594,0.34020358324050903,0.04589902237057686,0.003477577120065689
